digital,y
0,0.088793
8,0.106296
16,0.146614333333333
24,0.235088333333333
32,0.364934333333333
40,0.534287333333333
48,0.748758
56,1.01185333333333
64,1.332647
72,1.69651433333333
80,2.11684366666667
88,2.585782
96,3.11912166666667
104,3.703476
112,4.336578
120,5.039311
128,5.793201
136,6.62407833333333
144,7.507874
152,8.45246933333333
160,9.449133
168,10.4772203333333
176,11.555288
184,12.7188513333333
192,13.9321526666667
200,15.2073863333333
208,16.5487723333333
216,17.9516253333333
224,19.4426696666667
232,21.016212
240,22.6647766666667
248,24.384495
255,25.9527883333333
