channel,digital,x,y,z
R,255,45.901251,24.694721,2.852943
G,255,38.249952,84.711354,16.808599
B,255,22.502837,7.753328,115.859185
B,0,0.097552,0.091573,0.168145
R,0,0.081742,0.09613,0.169493
G,0,0.089704,0.080694,0.168357
G,0,0.090363,0.081911,0.155096
B,0,0.085723,0.088412,0.168925
R,0,0.090363,0.081911,0.155096
G,255,38.274269,84.718893,16.793778
B,255,22.51014,7.736675,115.87131
R,255,45.884782,24.698061,2.867552
B,255,22.508136,7.748044,115.832095
R,255,45.896611,24.701222,2.866772
G,255,38.255251,84.70607,16.781509
B,0,0.103423,0.098801,0.207716
R,0,0.082401,0.097347,0.156232
G,0,0.082401,0.097347,0.156232
