digital,y
0,0.0847013333333333
8,0.127708
16,0.284102
24,0.554768333333333
32,0.971192
40,1.54846666666667
48,2.271395
56,3.15758366666667
64,4.19953766666667
72,5.42119766666667
80,6.795239
88,8.34832266666667
96,10.0906356666667
104,12.0015176666667
112,14.107907
120,16.4147506666667
128,18.9165573333333
136,21.601275
144,24.4927056666667
152,27.5103853333333
160,30.6918696666667
168,34.058007
176,37.647549
184,41.424034
192,45.4151326666667
200,49.5896076666667
208,53.9873046666667
216,58.6155203333333
224,63.406185
232,68.4447043333333
240,73.6619833333333
248,79.0828933333333
255,83.937996
