digital,y
0,0.085755
8,0.100522
16,0.140821
24,0.227370333333333
32,0.339490333333333
40,0.505905333333333
48,0.713425333333333
56,0.973340333333333
64,1.27075333333333
72,1.616935
80,2.01718866666667
88,2.458305
96,2.956456
104,3.51072666666667
112,4.109021
120,4.78525266666667
128,5.50695166666667
136,6.28529533333333
144,7.131874
152,8.047074
160,8.99122333333334
168,9.96857866666667
176,11.0035323333333
184,12.1014966666667
192,13.2596283333333
200,14.4693666666667
208,15.7481073333333
216,17.0966653333333
224,18.4818326666667
232,19.9535246666667
240,21.4958066666667
248,23.0706643333333
255,24.5350053333333
