,,,,,
,,,,,
,,,,,
Name,#1,#2,#3,#4,#4
Correction,UV,UV,UV,UV,UV
Date,2024/10/08,2024/10/08,2024/10/08,2024/10/08,2024/10/08
Time,17:09:24,17:10:17,17:10:48,17:11:10,17:11:10
Sync. frequency [Hz],0.00,0.00,0.00,0.00,0.00
T_int [ms],72.83,134.49,100.00,27885.52,27885.52
Averages,3,3,3,3,3
,,,,,
,,,,,
,,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
380,8.65202E-06,3.82979E-06,3.42611E-06,0.00000E+00,0.00000E+00
381,3.68736E-06,2.15647E-06,8.13702E-06,0.00000E+00,0.00000E+00
382,4.32524E-06,1.01269E-06,6.11649E-06,0.00000E+00,0.00000E+00
383,3.72115E-06,4.12200E-06,4.34889E-06,0.00000E+00,0.00000E+00
384,4.25064E-06,4.00441E-06,5.10736E-06,7.15877E-09,7.15877E-09
385,2.92108E-06,8.85933E-07,1.07822E-05,2.99096E-09,2.99096E-09
386,2.11177E-06,1.82852E-06,5.99463E-06,0.00000E+00,0.00000E+00
387,8.88558E-07,2.89023E-06,8.97798E-06,1.26612E-08,1.26612E-08
388,4.90147E-06,1.34742E-06,7.63371E-06,1.33515E-07,1.33515E-07
389,6.23829E-06,0.00000E+00,8.50521E-06,0.00000E+00,0.00000E+00
390,5.14291E-06,4.26321E-07,7.65692E-06,0.00000E+00,0.00000E+00
391,3.19572E-06,4.26311E-06,6.04995E-06,0.00000E+00,0.00000E+00
392,1.98106E-06,5.67481E-06,8.41970E-06,0.00000E+00,0.00000E+00
393,1.22211E-07,3.75678E-06,5.68784E-06,9.90636E-08,9.90636E-08
394,3.32761E-06,1.68997E-06,7.58981E-06,0.00000E+00,0.00000E+00
395,3.69262E-06,3.13536E-06,9.19356E-06,0.00000E+00,0.00000E+00
396,0.00000E+00,2.65206E-06,1.07800E-05,0.00000E+00,0.00000E+00
397,0.00000E+00,6.90612E-07,9.22164E-06,0.00000E+00,0.00000E+00
398,8.41817E-07,3.64693E-06,9.13487E-06,0.00000E+00,0.00000E+00
399,4.64105E-08,2.89444E-06,1.18121E-05,0.00000E+00,0.00000E+00
