Row,SumSq,DF,MeanSq,F,pValue,pValueGG,pValueHF,pValueLB
(Intercept),0,1,0,0,1,1,1,1
DisplayFactor,0,1,0,0,1,1,1,1
Error,631.332,18,35.074,1,0.5,0.5,0.5,0.5
(Intercept):Illumination,10.112,1,10.112,0.425,0.523,0.523,0.523,0.523
DisplayFactor:Illumination,29.862,1,29.862,1.255,0.277,0.277,0.277,0.277
Error(Illumination),428.34,18,23.797,1,0.5,0.5,0.5,0.5
(Intercept):Material,0,1,0,0,1,1,1,1
DisplayFactor:Material,0,1,0,0,1,1,1,1
Error(Material),399.103,18,22.172,1,0.5,0.5,0.5,0.5
(Intercept):Shape,0,1,0,0,1,1,1,1
DisplayFactor:Shape,0,1,0,0,1,1,1,1
Error(Shape),522.988,18,29.055,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material,2.059,1,2.059,0.137,0.715,0.715,0.715,0.715
DisplayFactor:Illumination:Material,32.953,1,32.953,2.196,0.156,0.156,0.156,0.156
Error(Illumination:Material),270.163,18,15.009,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Shape,7.203,1,7.203,0.376,0.548,0.548,0.548,0.548
DisplayFactor:Illumination:Shape,22.132,1,22.132,1.154,0.297,0.297,0.297,0.297
Error(Illumination:Shape),345.163,18,19.176,1,0.5,0.5,0.5,0.5
(Intercept):Material:Shape,0,1,0,0,1,1,1,1
DisplayFactor:Material:Shape,0,1,0,0,1,1,1,1
Error(Material:Shape),300.909,18,16.717,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material:Shape,1.171,1,1.171,0.106,0.749,0.749,0.749,0.749
DisplayFactor:Illumination:Material:Shape,24.703,1,24.703,2.229,0.153,0.153,0.153,0.153
Error(Illumination:Material:Shape),199.467,18,11.081,1,0.5,0.5,0.5,0.5
