Row,SumSq,DF,MeanSq,F,pValue,pValueGG,pValueHF,pValueLB
(Intercept),975.917,1,975.917,1411.599,0,0,0,0
DisplayFactor,975.917,1,975.917,1411.599,0,0,0,0
Error,12.444,18,0.691,1,0.5,0.5,0.5,0.5
(Intercept):Illumination,826.774,1,826.774,1044.433,0,0,0,0
DisplayFactor:Illumination,602.768,1,602.768,761.455,0,0,0,0
Error(Illumination),14.249,18,0.792,1,0.5,0.5,0.5,0.5
(Intercept):Material,806.291,1,806.291,1413.172,0,0,0,0
DisplayFactor:Material,806.291,1,806.291,1413.172,0,0,0,0
Error(Material),10.27,18,0.571,1,0.5,0.5,0.5,0.5
(Intercept):Shape,760.372,1,760.372,1286.212,0,0,0,0
DisplayFactor:Shape,760.372,1,760.372,1286.212,0,0,0,0
Error(Shape),10.641,18,0.591,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material,797.315,1,797.315,1236.995,0,0,0,0
DisplayFactor:Illumination:Material,407.734,1,407.734,632.579,0,0,0,0
Error(Illumination:Material),11.602,18,0.645,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Shape,643.14,1,643.14,1111.42,0,0,0,0
DisplayFactor:Illumination:Shape,470.855,1,470.855,813.692,0,0,0,0
Error(Illumination:Shape),10.416,18,0.579,1,0.5,0.5,0.5,0.5
(Intercept):Material:Shape,633.154,1,633.154,1414.925,0,0,0,0
DisplayFactor:Material:Shape,633.154,1,633.154,1414.925,0,0,0,0
Error(Material:Shape),8.055,18,0.447,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material:Shape,627.278,1,627.278,1368.664,0,0,0,0
DisplayFactor:Illumination:Material:Shape,320.257,1,320.257,698.771,0,0,0,0
Error(Illumination:Material:Shape),8.25,18,0.458,1,0.5,0.5,0.5,0.5
