Row,SumSq,DF,MeanSq,F,pValue,pValueGG,pValueHF,pValueLB
(Intercept),0,1,0,0,1,1,1,1
DisplayFactor,0,1,0,0,1,1,1,1
Error,661.699,12,55.142,1,0.5,0.5,0.5,0.5
(Intercept):Illumination,66.73,1,66.73,1.641,0.224,0.224,0.224,0.224
DisplayFactor:Illumination,0.089,1,0.089,0.002,0.963,0.963,0.963,0.963
Error(Illumination),488.03,12,40.669,1,0.5,0.5,0.5,0.5
(Intercept):Material,0,1,0,0,1,1,1,1
DisplayFactor:Material,0,1,0,0,1,1,1,1
Error(Material),598.712,12,49.893,1,0.5,0.5,0.5,0.5
(Intercept):Shape,0,1,0,0,1,1,1,1
DisplayFactor:Shape,0,1,0,0,1,1,1,1
Error(Shape),683.842,12,56.987,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material,45.381,1,45.381,1.168,0.301,0.301,0.301,0.301
DisplayFactor:Illumination:Material,0.173,1,0.173,0.004,0.948,0.948,0.948,0.948
Error(Illumination:Material),466.237,12,38.853,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Shape,40.715,1,40.715,0.95,0.349,0.349,0.349,0.349
DisplayFactor:Illumination:Shape,0.016,1,0.016,0,0.985,0.985,0.985,0.985
Error(Illumination:Shape),514.382,12,42.865,1,0.5,0.5,0.5,0.5
(Intercept):Material:Shape,0,1,0,0,1,1,1,1
DisplayFactor:Material:Shape,0,1,0,0,1,1,1,1
Error(Material:Shape),639.533,12,53.294,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material:Shape,27.437,1,27.437,0.657,0.434,0.434,0.434,0.434
DisplayFactor:Illumination:Material:Shape,0.016,1,0.016,0,0.984,0.984,0.984,0.984
Error(Illumination:Material:Shape),501.36,12,41.78,1,0.5,0.5,0.5,0.5
