Row,SumSq,DF,MeanSq,F,pValue,pValueGG,pValueHF,pValueLB
(Intercept),2603.371,1,2603.371,2534.218,0,0,0,0
DisplayFactor,1.685,1,1.685,1.64,0.225,0.225,0.225,0.225
Error,12.327,12,1.027,1,0.5,0.5,0.5,0.5
(Intercept):Illumination,1882.441,1,1882.441,2500.842,0,0,0,0
DisplayFactor:Illumination,1.064,1,1.064,1.413,0.257,0.257,0.257,0.257
Error(Illumination),9.033,12,0.753,1,0.5,0.5,0.5,0.5
(Intercept):Material,2116.085,1,2116.085,2069.1,0,0,0,0
DisplayFactor:Material,1.334,1,1.334,1.304,0.276,0.276,0.276,0.276
Error(Material),12.272,12,1.023,1,0.5,0.5,0.5,0.5
(Intercept):Shape,1972.072,1,1972.072,1779.204,0,0,0,0
DisplayFactor:Shape,1.677,1,1.677,1.513,0.242,0.242,0.242,0.242
Error(Shape),13.301,12,1.108,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material,1530.658,1,1530.658,1973.589,0,0,0,0
DisplayFactor:Illumination:Material,0.842,1,0.842,1.086,0.318,0.318,0.318,0.318
Error(Illumination:Material),9.307,12,0.776,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Shape,1430.939,1,1430.939,1736.406,0,0,0,0
DisplayFactor:Illumination:Shape,0.999,1,0.999,1.212,0.293,0.293,0.293,0.293
Error(Illumination:Shape),9.889,12,0.824,1,0.5,0.5,0.5,0.5
(Intercept):Material:Shape,1615.362,1,1615.362,1441.183,0,0,0,0
DisplayFactor:Material:Shape,1.46,1,1.46,1.303,0.276,0.276,0.276,0.276
Error(Material:Shape),13.45,12,1.121,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material:Shape,1173.176,1,1173.176,1378.737,0,0,0,0
DisplayFactor:Illumination:Material:Shape,0.917,1,0.917,1.077,0.32,0.32,0.32,0.32
Error(Illumination:Material:Shape),10.211,12,0.851,1,0.5,0.5,0.5,0.5
