Source,Sum Sq.,d.f.,Singular?,Mean Sq.,F,Prob>F
Illumination,37677.205,29,0,1299.214,462.829,0
Material,0,3,0,0,0,1
Shape,0,5,0,0,0,1
DisplayFactor,0,1,0,0,0,1
Illumination*Material,4189.201,87,0,48.152,17.153,0
Illumination*Shape,16502.487,145,0,113.81,40.544,0
Illumination*DisplayFactor,668.471,29,0,23.051,8.212,0
Material*Shape,0,15,0,0,0,1
Material*DisplayFactor,0,3,0,0,0,1
Shape*DisplayFactor,0,5,0,0,0,1
Illumination*Material*Shape,6454.067,435,0,14.837,5.285,0
Illumination*Material*DisplayFactor,666.745,87,0,7.664,2.73,0
Illumination*Shape*DisplayFactor,1190.808,145,0,8.212,2.926,0
Material*Shape*DisplayFactor,0,15,0,0,0,1
Illumination*Material*Shape*DisplayFactor,2251.015,435,0,5.175,1.843,0
Error,198070.012,70560,0,2.807,,
Total,267670.012,71999,0,,,
