Row,SumSq,DF,MeanSq,F,pValue,pValueGG,pValueHF,pValueLB
(Intercept),3560.778,1,3560.778,2441.269,0,0,0,0
HMDFactor,2.094,1,2.094,1.436,0.247,0.247,0.247,0.247
Error,24.796,17,1.459,1,0.5,0.5,0.5,0.5
(Intercept):Illumination,2592.995,1,2592.995,2436.131,0,0,0,0
HMDFactor:Illumination,1.496,1,1.496,1.406,0.252,0.252,0.252,0.252
Error(Illumination),18.095,17,1.064,1,0.5,0.5,0.5,0.5
(Intercept):Material,2930.668,1,2930.668,2373.137,0,0,0,0
HMDFactor:Material,2.013,1,2.013,1.63,0.219,0.219,0.219,0.219
Error(Material),20.994,17,1.235,1,0.5,0.5,0.5,0.5
(Intercept):Shape,2736.294,1,2736.294,1927.885,0,0,0,0
HMDFactor:Shape,2.688,1,2.688,1.894,0.187,0.187,0.187,0.187
Error(Shape),24.129,17,1.419,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material,2132.19,1,2132.19,2333.519,0,0,0,0
HMDFactor:Illumination:Material,1.438,1,1.438,1.574,0.227,0.227,0.227,0.227
Error(Illumination:Material),15.533,17,0.914,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Shape,1998.131,1,1998.131,1935.182,0,0,0,0
HMDFactor:Illumination:Shape,1.781,1,1.781,1.725,0.207,0.207,0.207,0.207
Error(Illumination:Shape),17.553,17,1.033,1,0.5,0.5,0.5,0.5
(Intercept):Material:Shape,2271.404,1,2271.404,1945.592,0,0,0,0
HMDFactor:Material:Shape,2.466,1,2.466,2.112,0.164,0.164,0.164,0.164
Error(Material:Shape),19.847,17,1.167,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material:Shape,1657.689,1,1657.689,1909.281,0,0,0,0
HMDFactor:Illumination:Material:Shape,1.669,1,1.669,1.922,0.184,0.184,0.184,0.184
Error(Illumination:Material:Shape),14.76,17,0.868,1,0.5,0.5,0.5,0.5
