Source,Sum Sq.,d.f.,Singular?,Mean Sq.,F,Prob>F
Illumination,13516.2527352845,29,0,466.077680527051,776.678576367273,0
Material,0,3,0,0,0,1
Shape,0,5,0,0,0,1
VR,0,1,0,0,0,1
Illumination*Material,1928.78512612053,87,0,22.1699439783968,36.9443147498759,0
Illumination*Shape,6115.57033480356,145,0,42.1763471365763,70.2832738383119,0
Illumination*VR,381.932977096414,29,0,13.170102658497,21.9468492287492,6.84776717965933e-115
Material*Shape,0,15,0,0,0,1
Material*VR,0,3,0,0,0,1
Shape*VR,0,5,0,0,0,1
Illumination*Material*Shape,2409.70829338872,435,0,5.53955929514649,9.23120159324334,0
Illumination*Material*VR,274.221333399586,87,0,3.15196934942053,5.25248723408701,2.35248467217122e-51
Illumination*Shape*VR,562.53177151801,145,0,3.8795294587449,6.46490390525792,4.37346771142247e-115
Material*Shape*VR,0,15,0,0,0,1
Illumination*Material*Shape*VR,819.043002599512,435,0,1.88285747724026,3.13762088601143,3.81332783778253e-95
Error,40182.0810277295,66960,0,0.600090815826306,,
Total,66004.0000000001,68399,0,,,
