Source,Sum Sq.,d.f.,Singular?,Mean Sq.,F,Prob>F
Illumination,664.338544889075,29,0,22.9082256858302,583.784918456099,0
Material,16.7064428246158,3,0,5.56881427487194,141.91364411798,1.14907725006298e-91
Shape,217.337788769112,5,0,43.4675577538225,1107.71148349988,0
VR,10.4696917534573,1,0,10.4696917534573,266.805829066593,7.36310711311673e-60
Illumination*Material,102.693669597519,87,0,1.18038700686803,30.0805545571925,0
Illumination*Shape,312.974939031027,145,0,2.15844785538639,55.0051026443265,0
Illumination*VR,18.723407870169,29,0,0.645634754143759,16.4531220125606,2.99797527201459e-82
Material*Shape,26.829640796893,15,0,1.78864271979287,45.581122634358,2.90708997126179e-135
Material*VR,4.48533910244714,3,0,1.49511303414905,38.1009185387603,1.36454000294723e-24
Shape*VR,21.4546891283169,5,0,4.29093782566338,109.34870395504,1.93569092219311e-115
Illumination*Material*Shape,126.162467959678,435,0,0.29002866197627,7.3909852776803,0
Illumination*Material*VR,12.8059582344911,87,0,0.14719492223553,3.75106203565876,2.71654957809738e-29
Illumination*Shape*VR,25.4662854357989,145,0,0.175629554729648,4.4756799017284,1.95173974634763e-64
Material*Shape*VR,8.63447787118071,15,0,0.575631858078714,14.6691935873966,2.0528656240608e-38
Illumination*Material*Shape*VR,39.0787435380857,435,0,0.0898361920415764,2.28935294966288,1.88090916789516e-45
Error,2627.5683790871,66960,0,0.0392408658764502,,
Total,4236.42951797036,68399,0,,,
