Row,SumSq,DF,MeanSq,F,pValue,pValueGG,pValueHF,pValueLB
(Intercept),0,1,0,0,1,1,1,1
motion,0,1,0,0,1,1,1,1
Error,1290.292,14,92.164,1,0.5,0.5,0.5,0.5
(Intercept):Illumination,11.683,1,11.683,0.158,0.697,0.697,0.697,0.697
motion:Illumination,0.001,1,0.001,0,0.997,0.997,0.997,0.997
Error(Illumination),1033.724,14,73.837,1,0.5,0.5,0.5,0.5
(Intercept):Material,0,1,0,0,1,1,1,1
motion:Material,0,1,0,0,1,1,1,1
Error(Material),1007.59,14,71.971,1,0.5,0.5,0.5,0.5
(Intercept):Shape,0,1,0,0,1,1,1,1
motion:Shape,0,1,0,0,1,1,1,1
Error(Shape),1254.694,14,89.621,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material,9.695,1,9.695,0.164,0.691,0.691,0.691,0.691
motion:Illumination:Material,0.056,1,0.056,0.001,0.976,0.976,0.976,0.976
Error(Illumination:Material),825.721,14,58.98,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Shape,7.248,1,7.248,0.103,0.753,0.753,0.753,0.753
motion:Illumination:Shape,0.161,1,0.161,0.002,0.963,0.963,0.963,0.963
Error(Illumination:Shape),988.214,14,70.587,1,0.5,0.5,0.5,0.5
(Intercept):Material:Shape,0,1,0,0,1,1,1,1
motion:Material:Shape,0,1,0,0,1,1,1,1
Error(Material:Shape),971.769,14,69.412,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material:Shape,6.217,1,6.217,0.111,0.744,0.744,0.744,0.744
motion:Illumination:Material:Shape,0.381,1,0.381,0.007,0.935,0.935,0.935,0.935
Error(Illumination:Material:Shape),784.271,14,56.019,1,0.5,0.5,0.5,0.5
