Row,SumSq,DF,MeanSq,F,pValue,pValueGG,pValueHF,pValueLB
(Intercept),635.669,1,635.669,535.301,0,0,0,0
motion,0.597,1,0.597,0.503,0.49,0.49,0.49,0.49
Error,16.625,14,1.187,1,0.5,0.5,0.5,0.5
(Intercept):Illumination,467.762,1,467.762,483.952,0,0,0,0
motion:Illumination,0.335,1,0.335,0.346,0.566,0.566,0.566,0.566
Error(Illumination),13.532,14,0.967,1,0.5,0.5,0.5,0.5
(Intercept):Material,588.373,1,588.373,609.569,0,0,0,0
motion:Material,0.523,1,0.523,0.542,0.474,0.474,0.474,0.474
Error(Material),13.513,14,0.965,1,0.5,0.5,0.5,0.5
(Intercept):Shape,524.922,1,524.922,457.749,0,0,0,0
motion:Shape,1.228,1,1.228,1.071,0.318,0.318,0.318,0.318
Error(Shape),16.054,14,1.147,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material,433.367,1,433.367,539.29,0,0,0,0
motion:Illumination:Material,0.245,1,0.245,0.304,0.59,0.59,0.59,0.59
Error(Illumination:Material),11.25,14,0.804,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Shape,387.517,1,387.517,422.36,0,0,0,0
motion:Illumination:Shape,0.692,1,0.692,0.755,0.4,0.4,0.4,0.4
Error(Illumination:Shape),12.845,14,0.918,1,0.5,0.5,0.5,0.5
(Intercept):Material:Shape,485.279,1,485.279,522.351,0,0,0,0
motion:Material:Shape,1.057,1,1.057,1.138,0.304,0.304,0.304,0.304
Error(Material:Shape),13.006,14,0.929,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material:Shape,358.277,1,358.277,470.738,0,0,0,0
motion:Illumination:Material:Shape,0.529,1,0.529,0.695,0.419,0.419,0.419,0.419
Error(Illumination:Material:Shape),10.655,14,0.761,1,0.5,0.5,0.5,0.5
