Row,SumSq,DF,MeanSq,F,pValue,pValueGG,pValueHF,pValueLB
(Intercept),0,1,0,0,1,1,1,1
motion,0,1,0,0,1,1,1,1
Error,0.455,2,0.228,1,0.5,0.5,0.5,0.5
(Intercept):Illumination,2.669,1,2.669,12.386,0.072,0.072,0.072,0.072
motion:Illumination,0.004,1,0.004,0.02,0.899,0.899,0.899,0.899
Error(Illumination),0.431,2,0.216,1,0.5,0.5,0.5,0.5
(Intercept):Material,0,1,0,0,1,1,1,1
motion:Material,0,1,0,0,1,1,1,1
Error(Material),1.227,2,0.613,1,0.5,0.5,0.5,0.5
(Intercept):Shape,0,1,0,0,1,1,1,1
motion:Shape,0,1,0,0,1,1,1,1
Error(Shape),0.674,2,0.337,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material,2.467,1,2.467,5.479,0.144,0.144,0.144,0.144
motion:Illumination:Material,0.004,1,0.004,0.008,0.935,0.935,0.935,0.935
Error(Illumination:Material),0.9,2,0.45,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Shape,1.591,1,1.591,34.123,0.028,0.028,0.028,0.028
motion:Illumination:Shape,0.001,1,0.001,0.025,0.889,0.889,0.889,0.889
Error(Illumination:Shape),0.093,2,0.047,1,0.5,0.5,0.5,0.5
(Intercept):Material:Shape,0,1,0,0,1,1,1,1
motion:Material:Shape,0,1,0,0,1,1,1,1
Error(Material:Shape),1.099,2,0.549,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material:Shape,1.497,1,1.497,6.911,0.119,0.119,0.119,0.119
motion:Illumination:Material:Shape,0,1,0,0.001,0.974,0.974,0.974,0.974
Error(Illumination:Material:Shape),0.433,2,0.217,1,0.5,0.5,0.5,0.5
