Row,SumSq,DF,MeanSq,F,pValue,pValueGG,pValueHF,pValueLB
(Intercept),370.044,1,370.044,692.985,0,0,0,0
motion,0.37,1,0.37,0.694,0.437,0.437,0.437,0.437
Error,3.204,6,0.534,1,0.5,0.5,0.5,0.5
(Intercept):Illumination,267.331,1,267.331,627.871,0,0,0,0
motion:Illumination,0.332,1,0.332,0.779,0.411,0.411,0.411,0.411
Error(Illumination),2.555,6,0.426,1,0.5,0.5,0.5,0.5
(Intercept):Material,336.704,1,336.704,938.196,0,0,0,0
motion:Material,0.235,1,0.235,0.655,0.449,0.449,0.449,0.449
Error(Material),2.153,6,0.359,1,0.5,0.5,0.5,0.5
(Intercept):Shape,318.22,1,318.22,983.946,0,0,0,0
motion:Shape,0.101,1,0.101,0.312,0.596,0.596,0.596,0.596
Error(Shape),1.94,6,0.323,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material,242.907,1,242.907,834.418,0,0,0,0
motion:Illumination:Material,0.218,1,0.218,0.75,0.42,0.42,0.42,0.42
Error(Illumination:Material),1.747,6,0.291,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Shape,230.495,1,230.495,914.924,0,0,0,0
motion:Illumination:Shape,0.099,1,0.099,0.395,0.553,0.553,0.553,0.553
Error(Illumination:Shape),1.512,6,0.252,1,0.5,0.5,0.5,0.5
(Intercept):Material:Shape,288.315,1,288.315,1114.746,0,0,0,0
motion:Material:Shape,0.069,1,0.069,0.267,0.624,0.624,0.624,0.624
Error(Material:Shape),1.552,6,0.259,1,0.5,0.5,0.5,0.5
(Intercept):Illumination:Material:Shape,208.385,1,208.385,1044.326,0,0,0,0
motion:Illumination:Material:Shape,0.071,1,0.071,0.358,0.571,0.571,0.571,0.571
Error(Illumination:Material:Shape),1.197,6,0.2,1,0.5,0.5,0.5,0.5
